ID,QuestionText,AnswerA,AnswerB,AnswerC,AnswerD,CorrectIndex,Explanation
LR1,Who is eligible to row at AARC?,Anyone who knows how to row,Club members and class participants who have paid all fees and signed waivers,People who have their own equipment,Anyone who has passed a swim test,2,"Only club members and class participants who have paid all fees may row, and each must have signed the AARC liability membership waiver and the US Rowing Basic Waiver and Release of Liability Agreement."
LR2,When may an individual coach from a single shell?,Any time during daylight hours,"Any time, as long as they carry a cell phone",Only if they have 5+ years of coaching experience,Only if they have a safety launch accompanying them,4,No individual may coach—or Learn-to-Scull—from a single shell unless there is also a safety launch in attendance.
LR3,Where should life jackets be kept while rowing?,Always on your person while rowing,Either in the coach's launch or in the boat,Life jackets are not required for rowing,Only children need life jackets,2,"Every rower must have a life jacket accessible, either in the coach's launch or in the boat when rowing without a coach."
LR4,What must single scullers carry with them during workouts?,A cell phone or whistle,A bottle of water,A GPS device,Nothing is required,1,Single scullers must carry a cell phone or whistle with them during workouts.
LR5,When are unaccompanied single or double sculls allowed on the water?,"Any time, as long as you've taken a safety course",Only when specifically approved by the Director after water/air temperatures are deemed safe,Any time during daylight hours,Only on weekends,2,Unaccompanied use of single (1x) or double (2-) sculls is prohibited until water and air temperatures are deemed safe; the Director will notify when conditions allow.
LR6,What should you do if sudden severe weather strikes while on the water?,Continue rowing but be more careful,"Vacate the water immediately, signal all crews, and account for everyone",Row faster to outrace the weather,Seek shelter under a bridge,2,"If sudden severe weather strikes (lightning, thunder, high wind, etc.), vacate the water immediately, signal all crews (e.g., air horn), and account for everyone before departing."
LR7,What must be done before taking a shell on the water?,"Sign out the shell in the boathouse logbook, noting boat name and departure time","Nothing, just take the boat out",Get verbal permission from a coach,Check the weather forecast,1,"All shells must be signed out in the boathouse logbook (noting boat name and departure time) before going on the water, and any equipment issues reported upon return."
LR8,What is the overarching safety principle at AARC?,Always prioritize speed and technique over safety,Use common sense and avoid any behavior that could endanger people or equipment,Follow rules only when coaches are watching,Only advanced rowers need to worry about safety,2,Always prioritize safety—avoid any behavior that could endanger people or equipment.
LR9,What two official waivers must be signed before participating in AARC rowing activities?,A personal boat usage agreement and insurance waiver,A swimming test confirmation and weather acknowledgment,A medical waiver and equipment damage waiver,The AARC liability membership waiver and the US Rowing Basic Waiver,4,All rowers must have signed the AARC liability membership waiver and the US Rowing Basic Waiver and Release of Liability Agreement before participating.
LR10,True or False: It's acceptable for Learn-to-Scull participants to practice in a single shell without a safety launch if they stay close to shore.,,TRUE,,FALSE,4,"False. No Learn-to-Scull participant may practice from a single shell unless there is also a safety launch in attendance, regardless of proximity to shore."
LR11,What should you do if you notice an equipment issue with a shell after rowing?,Don't worry about it unless it affected your rowing,Only report major damage,Report it in the logbook upon return,Fix it yourself if you can,3,Any equipment issues must be reported in the logbook upon returning the shell to the boathouse.
LR12,In what weather conditions should you immediately vacate the water?,Light rain,"Lightning, thunder, or high wind",Temperatures below 60°F,Fog,2,"If sudden severe weather strikes (lightning, thunder, high wind, etc.), vacate the water immediately."
LR13,Who determines when unaccompanied sculling is permitted based on water and air temperatures?,The daily weather report,The Director,Individual rowers based on their comfort level,The most experienced coach present,2,The Director will notify when water and air temperatures are deemed safe for unaccompanied sculling.
LR14,Where should safety equipment such as life jackets be stored while rowing?,They must always be worn,Either in the coach's launch or in the boat,In your car for after rowing,At the boathouse,2,"Every rower must have a life jacket accessible, either in the coach's launch or in the boat when rowing without a coach."
LR15,What are single scullers required to carry during workouts?,A cell phone or whistle,A life jacket on their person,A water bottle,Sunscreen,1,Single scullers must carry a cell phone or whistle with them during workouts.
