ID,QuestionText,AnswerA,AnswerB,AnswerC,AnswerD,CorrectIndex,Explanation
SQ1,"According to rowing safety best practices, when is high-visibility clothing recommended for rowers?",Only during organized regattas,Only when specifically instructed by a coach,"Always while on the water, especially during low light conditions",Only during winter months,3,"High-visibility clothing is strongly recommended at all times while on the water, and is particularly important during low light conditions including dawn, dusk, cloudy days, and fog to ensure maximum visibility to other water users."
SQ2,What is the recommended high-visibility clothing for rowing?,"A high-visibility vest or outer layer in yellow, orange, or bright green",Any clothing with reflective strips,A flashing light attached to the boat,Any bright-colored shirt,1,"A high-visibility vest or outer layer in yellow, orange, or bright green is recommended for all rowing activities to enhance visibility to other water users."
SQ3,"Which boat lights are required by Michigan boating laws for rowing during dawn, dusk, or in low light conditions?",A white light on the bow only,A white light on the stern only,A white light visible in time to avoid a collision,Any flashing light visible from all directions,3,"Michigan boating laws require a white light visible in time to avoid a collision when rowing before sunrise or after sunset. For scullers on the Huron River, clip-on lights at bow and stern are commonly used."
SQ4,When should boat lights be turned on according to Michigan boating laws?,Only during fog,From sunset to sunrise and during low visibility conditions,Only when it's completely dark,Only when other boats have their lights on,2,"Michigan boating laws require boat lights to be on from sunset to sunrise and any time visibility is reduced due to fog, heavy rain, or other conditions that limit visibility on waterways like the Huron River."
SQ5,Why are red and green navigation lights positioned specifically on the bow of the boat?,Because batteries last longer in these colors,To indicate port (red) and starboard (green) sides to approaching vessels,To match traffic light colors,For aesthetic purposes only,2,"The red and green navigation lights on the bow indicate the port (left/red) and starboard (right/green) sides of the vessel, helping other boaters determine your direction of travel and orientation."
SQ6,Which statement is correct about the required white stern light?,It should be flashing for better visibility,It only needs to be visible from directly behind the boat,It should be visible through a 360° arc around the boat,It's optional if you have bow lights,3,The white stern light should be visible through a 360° arc (all around) to ensure your boat can be seen from any direction in low light conditions.
SQ7,"If you're caught on the Huron River as it's getting dark and you don't have lights, what should you do?",Return to the dock while strictly following traffic patterns and yielding to all other vessels,Increase your stroke rate to get back faster,Turn on your mobile phone flashlight as a substitute,Continue rowing but more carefully,1,"If you don't have proper lighting and visibility is decreasing, return to the dock while strictly following traffic patterns. Take extra caution, row slowly, stay close to the shoreline when appropriate, and yield to all other vessels that may not see you."
SQ8,How does wearing high-visibility clothing complement boat lighting for safety?,It helps identify your skill level to others,It matches the club colors,It makes you visible if you fall into the water away from your boat,It keeps you warmer in cold conditions,3,"High-visibility clothing ensures you remain visible if separated from your boat, such as during a capsize, when boat lights would no longer help identify your position."
SQ9,What is recommended for rowers in addition to standard high-visibility clothing in foggy conditions?,A waterproof headlamp,A fully charged cell phone in a waterproof case,All of the above,A foghorn or whistle,3,"All items are recommended in foggy conditions: a foghorn or whistle to signal your presence audibly, a waterproof headlamp for additional visibility, and a charged phone for emergency communication."
SQ10,"If your boat lights fail while on the Huron River in low light conditions, what should you do?",Continue rowing but more carefully,"Return to the dock at a reduced pace, staying in the proper traffic pattern and being extra vigilant",Wait for another boat to escort you back,Use your mobile phone as a light source,2,"If your lights fail, return to the dock at a reduced pace while strictly adhering to the river traffic pattern. Be extremely cautious, assume other boats cannot see you, and yield to all other water traffic."
